ticker,name,category,display,technical_score,technical_tier,technical_score_weekly,technical_tier_weekly,fundamental_score,fundamental_tag,price,sma50,sma150,sma200,volume_financeiro,vcp,vcp_conf,wedge,wedge_conf,cup_handle,cup_handle_conf,double_bottom,double_bottom_conf,inverse_hs,inverse_hs_conf,pre_breakout,breakout,breakout_vol_ratio,breakout_resistance,vcp_weekly,wedge_weekly,cup_handle_weekly,double_bottom_weekly,inverse_hs_weekly,pre_breakout_weekly,breakout_weekly,roe,pl,pvp,rank
CATP34,CATP34,BDR,CAT (BDR: CATP34),13.6,S,2.0,C,3.0,OK,895.69,760.37,654.25,598.58,2635746074.49,False,0.0,False,0.0,False,0.0,True,0.8,True,0.75,True,False,1.08,930.54,False,False,False,False,False,True,False,51.331,44.53953,22.242115,40
W1DC34,W1DC34,BDR,WDC (BDR: W1DC34),13.6,S,2.0,C,4.0,Forte,463.91,331.59,236.05,198.83,3309545099.97,False,0.0,False,0.0,False,0.0,True,0.65,True,0.65,True,False,0.78,483.87,False,False,False,False,False,True,False,85.920995,27.745815,22.18073,41
TEXA34,TEXA34,BDR,TXN (BDR: TEXA34),13.6,S,3.3,C,4.0,Forte,285.24,219.01,194.4,192.03,1934266569.38,False,0.0,False,0.0,False,0.0,False,0.0,True,0.8,True,False,0.65,292.64,False,False,False,False,True,True,False,32.347,48.758972,15.471063,42
CHIP11,CHIP11,ETF,CHIP11,13.6,S,0.5,C,0.0,Fraco,32.74,27.01,25.16,23.87,2857612.83,False,0.0,False,0.0,False,0.0,False,0.0,True,0.8,True,False,0.65,33.52,False,False,False,False,False,False,False,0.0,999.0,999.0,43
GOGL34,GOGL34,BDR,GOOGL (BDR: GOGL34),13.6,S,3.3,C,4.0,Forte,397.99,321.83,307.19,284.96,8916566945.23,False,0.0,False,0.0,False,0.0,False,0.0,True,0.8,True,False,0.7,399.85,False,False,False,False,True,True,False,38.884997,30.380915,11.585305,44
LPSB3,LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.,BR_STOCK,LPSB3,13.6,S,2.9,C,4.0,Forte,1.87,1.74,1.59,1.51,368577.0,False,0.0,False,0.0,False,0.0,True,0.65,True,0.9,True,False,1.17,1.92,False,False,False,True,True,False,False,23.020001,5.84375,1.0859466,45
V1OD34,V1OD34,BDR,VOD (BDR: V1OD34),13.6,S,2.0,C,2.0,Fraco,15.69,15.15,13.67,13.08,61223272.69,False,0.0,False,0.0,True,0.8,False,0.0,True,0.55,True,False,0.85,16.22,False,False,False,False,False,True,False,-6.616,999.0,6.290928,46
CBAV3,COMPANHIA BRASILEIRA DE ALUMÍNIO,BR_STOCK,CBAV3,13.6,S,2.0,C,1.0,Fraco,10.68,10.4,7.95,6.91,21634476.62,False,0.0,False,0.0,False,0.0,False,0.0,True,0.8,True,False,0.69,10.66,False,False,False,False,False,True,False,5.392,56.21053,1.6201457,47
SLBG34,SLBG34,BDR,SLB (BDR: SLBG34),13.53,S,1.6,C,2.0,Fraco,53.0,51.11,44.0,41.5,693627430.0,False,0.0,False,0.0,True,0.85,True,0.65,True,0.55,False,False,0.92,57.2,False,False,False,False,True,False,False,14.066,23.348019,2.8968081,48
R1OK34,R1OK34,BDR,ROK (BDR: R1OK34),13.5,S,2.0,C,3.0,OK,448.55,387.48,387.31,376.06,496259558.69,False,0.0,False,0.0,False,0.0,True,0.65,True,0.85,True,False,1.3,463.49,False,False,False,False,False,True,False,27.183,46.481865,14.276848,49
