ticker,name,category,display,technical_score,technical_tier,fundamental_score,fundamental_tag,price,sma50,sma150,sma200,volume_financeiro,vcp,vcp_conf,wedge,wedge_conf,cup_handle,cup_handle_conf,double_bottom,double_bottom_conf,inverse_hs,inverse_hs_conf,pre_breakout,breakout,breakout_vol_ratio,breakout_resistance,roe,pl,pvp,rank
A1EP34,A1EP34,BDR,AEP (BDR: A1EP34),10.0,A,2.0,Fraco,132.56,132.84,122.95,119.37,551554179.68,False,0.0,False,0.0,False,0.0,False,0.0,True,0.75,True,False,1.52,139.44,12.486,19.903904,2.3025482,364
LFIN11,LFIN11,ETF,LFIN11,9.99,A,0.0,Fraco,108.67,107.23,104.34,104.34,11557054.31,True,0.5,False,0.0,False,0.0,False,0.0,False,0.0,True,False,3.44,109.06,0.0,999.0,999.0,365
XB3511,XB3511,ETF,XB3511,9.98,A,0.0,Fraco,52.74,51.79,51.06,,158220.01,True,0.49,False,0.0,False,0.0,False,0.0,False,0.0,True,False,0.52,53.26,0.0,999.0,999.0,366
S1WK34,S1WK34,BDR,SWK (BDR: S1WK34),9.9,A,2.0,Fraco,81.03,74.06,74.21,73.61,194432211.34,False,0.0,False,0.0,False,0.0,True,0.7,True,0.75,True,False,1.0,81.28,4.165,33.209015,1.3874288,367
I1VZ34,I1VZ34,BDR,IVZ (BDR: I1VZ34),9.9,A,3.0,OK,27.35,24.61,25.05,24.11,93753886.81,False,0.0,False,0.0,False,0.0,False,0.0,True,0.7,True,False,0.55,27.07,-1.5350000000000001,999.0,1.2492578,368
BKCH39,GLOBAL X BLOCKCHAIN ETF,BDR,BKCH (BDR: BKCH39),9.9,A,1.0,Fraco,90.39,66.25,75.96,73.18,13121464.26,False,0.0,False,0.0,False,0.0,True,0.7,True,0.75,True,True,1.61,82.52,0.0,18.365604,999.0,369
USAL11,USAL11,ETF,USAL11,9.9,A,0.0,Fraco,15.5,15.02,15.48,15.38,3273367.5,False,0.0,False,0.0,False,0.0,False,0.0,True,0.7,True,False,0.98,15.62,0.0,999.0,999.0,370
HAGA3,HAGA S.A. INDUSTRIA E COMERCIO,BR_STOCK,HAGA3,9.9,A,2.0,Fraco,2.79,2.5,2.06,2.02,68355.0,False,0.0,False,0.0,False,0.0,True,0.7,True,0.5,False,False,3.02,3.24,0.0,15.499999,-0.6606678,371
C2ZR34,C2ZR34,BDR,CZR (BDR: C2ZR34),9.9,A,1.0,Fraco,27.76,26.79,23.82,24.43,58260884.08,False,0.0,False,0.0,False,0.0,True,0.85,True,0.6,True,False,0.65,28.8,-10.715999499999999,999.0,1.6578082,372
V1MC34,V1MC34,BDR,VMC (BDR: V1MC34),9.9,A,3.0,OK,295.72,283.5,292.83,291.55,163995962.48,False,0.0,False,0.0,False,0.0,True,0.55,True,0.9,True,False,0.5,306.3,13.458,34.996452,4.530302,373
N2ET34,N2ET34,BDR,NET (BDR: N2ET34),9.9,A,1.0,Fraco,248.59,204.36,202.28,203.79,1177718226.52,False,0.0,False,0.0,False,0.0,False,0.0,True,0.7,True,False,1.49,248.92,-8.164,999.0,59.94454,374
BAZA3,BCO AMAZONIA S.A.,BR_STOCK,BAZA3,9.9,A,3.0,OK,83.88,84.69,80.22,78.68,436175.99,False,0.0,False,0.0,False,0.0,False,0.0,True,0.7,True,False,0.94,86.7,15.238999999999999,3.9491525,0.645633,375
